1516600807079,on_foot:72;;walking:72;;unknown:12;;in_vehicle:4;;still:4;;on_bicycle:3;;running:3,on_foot:72;;walking:72;;unknown:12;;in_vehicle:4;;still:4;;on_bicycle:3;;running:3,,,,,
1516600808024,,still:100,static,STATE_SUSPECTING_START,24.786758,120.99739,22.697
1516600812120,on_foot:91;;walking:91;;still:3;;in_vehicle:2;;unknown:2;;on_bicycle:1,on_foot:91;;walking:91;;still:3;;in_vehicle:2;;unknown:2;;on_bicycle:1,,,,,
1516600817163,tilting:100,tilting:100,,,,,
1516600817260,on_foot:89;;walking:89;;on_bicycle:4;;in_vehicle:2;;still:2;;unknown:2,on_foot:89;;walking:89;;on_bicycle:4;;in_vehicle:2;;still:2;;unknown:2,,,,,
1516600818064,,on_foot:72;;walking:72;;unknown:12;;in_vehicle:4;;still:4;;on_bicycle:3;;running:3,on_foot,STATE_CONFIRMED,24.786789,120.99737,21.378
1516600824801,tilting:100,tilting:100,,,,,
1516600824863,on_foot:79;;walking:79;;still:10;;in_vehicle:3;;unknown:3;;on_bicycle:2;;running:1,on_foot:79;;walking:79;;still:10;;in_vehicle:3;;unknown:3;;on_bicycle:2;;running:1,,,,,
1516600828020,,on_foot:89;;walking:89;;on_bicycle:4;;in_vehicle:2;;still:2;;unknown:2,on_foot,STATE_CONFIRMED,24.786789,120.99737,21.378
1516600829901,on_foot:73;;walking:73;;still:21;;unknown:3;;in_vehicle:2;;on_bicycle:1,on_foot:73;;walking:73;;still:21;;unknown:3;;in_vehicle:2;;on_bicycle:1,,,,,
1516600835872,on_foot:58;;walking:58;;still:23;;unknown:9;;in_vehicle:3;;on_bicycle:2;;running:2,on_foot:58;;walking:58;;still:23;;unknown:9;;in_vehicle:3;;on_bicycle:2;;running:2,,,,,
1516600838013,,on_foot:79;;walking:79;;still:10;;in_vehicle:3;;unknown:3;;on_bicycle:2;;running:1,on_foot,STATE_CONFIRMED,24.786745,120.99736,23.911
1516600841011,on_foot:51;;walking:51;;still:43;;in_vehicle:2;;unknown:2;;on_bicycle:1;;running:0,on_foot:51;;walking:51;;still:43;;in_vehicle:2;;unknown:2;;on_bicycle:1;;running:0,,,,,
1516600846400,still:93;;in_vehicle:2;;on_foot:2;;walking:2;;unknown:1;;on_bicycle:0,still:93;;in_vehicle:2;;on_foot:2;;walking:2;;unknown:1;;on_bicycle:0,,,,,
1516600848035,,on_foot:58;;walking:58;;still:23;;unknown:9;;in_vehicle:3;;on_bicycle:2;;running:2,on_foot,STATE_SUSPECTING_STOP,24.786745,120.99736,23.911
1516600851849,still:100,still:100,,,,,
1516600856562,still:100,still:100,,,,,
1516600858022,,still:93;;in_vehicle:2;;on_foot:2;;walking:2;;unknown:1;;on_bicycle:0,on_foot,STATE_SUSPECTING_STOP,24.786724,120.997345,22.964
1516600861697,still:100,still:100,,,,,
1516600866834,still:100,still:100,,,,,
1516600868030,,still:100,on_foot,STATE_SUSPECTING_STOP,24.786852,120.997314,25.115
1516600871971,still:88;;on_foot:4;;walking:4;;in_vehicle:3;;on_bicycle:2;;unknown:2,still:88;;on_foot:4;;walking:4;;in_vehicle:3;;on_bicycle:2;;unknown:2,,,,,
1516600877113,still:86;;on_foot:4;;walking:4;;in_vehicle:3;;on_bicycle:3;;unknown:3,still:86;;on_foot:4;;walking:4;;in_vehicle:3;;on_bicycle:3;;unknown:3,,,,,
1516600878045,,still:100,on_foot,STATE_CONFIRMED,24.786852,120.997314,25.115
1516600882236,still:100,still:100,,,,,
1516601043371,still:56;;on_foot:16;;walking:16;;in_vehicle:15;;on_bicycle:5;;unknown:3,still:56;;on_foot:16;;walking:16;;in_vehicle:15;;on_bicycle:5;;unknown:3,,,,,
1516601048024,,still:78;;in_vehicle:7;;on_foot:5;;walking:5;;unknown:4;;on_bicycle:1,on_foot,STATE_SUSPECTING_STOP,24.786798,120.99754,100
1516601048499,still:44;;on_foot:30;;walking:30;;in_vehicle:10;;on_bicycle:8;;unknown:3;;running:1,still:44;;on_foot:30;;walking:30;;in_vehicle:10;;on_bicycle:8;;unknown:3;;running:1,,,,,
1516601054390,still:26;;in_vehicle:23;;unknown:22;;on_foot:12;;walking:12;;on_bicycle:7;;running:5,still:26;;in_vehicle:23;;unknown:22;;on_foot:12;;walking:12;;on_bicycle:7;;running:5,,,,,
1516601058034,,still:56;;on_foot:16;;walking:16;;in_vehicle:15;;on_bicycle:5;;unknown:3,on_foot,STATE_SUSPECTING_STOP,24.786798,120.99754,100
1516601061624,on_foot:29;;walking:29;;still:28;;in_vehicle:21;;unknown:12;;on_bicycle:3;;running:3,on_foot:29;;walking:29;;still:28;;in_vehicle:21;;unknown:12;;on_bicycle:3;;running:3,,,,,
1516601067813,on_foot:99;;walking:99;;unknown:1,on_foot:99;;walking:99;;unknown:1,,,,,
1516601068046,,still:26;;in_vehicle:23;;unknown:22;;on_foot:12;;walking:12;;on_bicycle:7;;running:5,on_foot,STATE_CONFIRMED,24.786798,120.99754,100
1516601072823,on_foot:99;;walking:99;;unknown:1,on_foot:99;;walking:99;;unknown:1,,,,,
1516601077898,on_foot:98;;walking:98;;unknown:2,on_foot:98;;walking:98;;unknown:2,,,,,
1516601078018,,on_foot:99;;walking:99;;unknown:1,on_foot,STATE_CONFIRMED,24.786798,120.99754,100
1516601085511,on_foot:98;;walking:98;;unknown:2,on_foot:98;;walking:98;;unknown:2,,,,,
1516601088023,,on_foot:98;;walking:98;;unknown:2,on_foot,STATE_CONFIRMED,24.786928,120.99749,26.421
1516601091069,on_foot:55;;walking:55;;unknown:21;;in_vehicle:5;;on_bicycle:5;;still:5;;running:5,on_foot:55;;walking:55;;unknown:21;;in_vehicle:5;;on_bicycle:5;;still:5;;running:5,,,,,
1516601098011,,on_foot:98;;walking:98;;unknown:2,on_foot,STATE_CONFIRMED,24.786928,120.99749,26.421
1516601108012,,on_foot:55;;walking:55;;unknown:21;;in_vehicle:5;;on_bicycle:5;;still:5;;running:5,on_foot,STATE_CONFIRMED,24.786928,120.99749,74.521
1516601118006,,on_foot:55;;walking:55;;unknown:21;;in_vehicle:5;;on_bicycle:5;;still:5;;running:5,on_foot,STATE_CONFIRMED,24.787022,120.997406,23.575
1516601120773,tilting:100,tilting:100,,,,,
1516601120814,unknown:40;;in_vehicle:10;;on_bicycle:10;;on_foot:10;;still:10;;walking:10;;running:10,unknown:40;;in_vehicle:10;;on_bicycle:10;;on_foot:10;;still:10;;walking:10;;running:10,,,,,
1516601125903,on_foot:28;;walking:28;;unknown:22;;still:17;;in_vehicle:13;;on_bicycle:7;;running:5,on_foot:28;;walking:28;;unknown:22;;still:17;;in_vehicle:13;;on_bicycle:7;;running:5,,,,,
