1516600807079,1/22/18 14:00,on_foot:72;;walking:72;;unknown:12;;in_vehicle:4;;still:4;;on_bicycle:3;;running:3,on_foot:72;;walking:72;;unknown:12;;in_vehicle:4;;still:4;;on_bicycle:3;;running:3,,,,,
1516600808024,1/22/18 14:00,,still:100,static,STATE_SUSPECTING_START,24.786758,120.99739,22.697
1516600812120,1/22/18 14:00,on_foot:91;;walking:91;;still:3;;in_vehicle:2;;unknown:2;;on_bicycle:1,on_foot:91;;walking:91;;still:3;;in_vehicle:2;;unknown:2;;on_bicycle:1,,,,,
1516600817163,1/22/18 14:00,tilting:100,tilting:100,,,,,
1516600817260,1/22/18 14:00,on_foot:89;;walking:89;;on_bicycle:4;;in_vehicle:2;;still:2;;unknown:2,on_foot:89;;walking:89;;on_bicycle:4;;in_vehicle:2;;still:2;;unknown:2,,,,,
1516600818064,1/22/18 14:00,,on_foot:72;;walking:72;;unknown:12;;in_vehicle:4;;still:4;;on_bicycle:3;;running:3,on_foot,STATE_CONFIRMED,24.786789,120.99737,21.378
1516600824801,1/22/18 14:00,tilting:100,tilting:100,,,,,
1516600824863,1/22/18 14:00,on_foot:79;;walking:79;;still:10;;in_vehicle:3;;unknown:3;;on_bicycle:2;;running:1,on_foot:79;;walking:79;;still:10;;in_vehicle:3;;unknown:3;;on_bicycle:2;;running:1,,,,,
1516600828020,1/22/18 14:00,,on_foot:89;;walking:89;;on_bicycle:4;;in_vehicle:2;;still:2;;unknown:2,on_foot,STATE_CONFIRMED,24.786789,120.99737,21.378
1516600829901,1/22/18 14:00,on_foot:73;;walking:73;;still:21;;unknown:3;;in_vehicle:2;;on_bicycle:1,on_foot:73;;walking:73;;still:21;;unknown:3;;in_vehicle:2;;on_bicycle:1,,,,,
1516600835872,1/22/18 14:00,on_foot:58;;walking:58;;still:23;;unknown:9;;in_vehicle:3;;on_bicycle:2;;running:2,on_foot:58;;walking:58;;still:23;;unknown:9;;in_vehicle:3;;on_bicycle:2;;running:2,,,,,
1516600838013,1/22/18 14:00,,on_foot:79;;walking:79;;still:10;;in_vehicle:3;;unknown:3;;on_bicycle:2;;running:1,on_foot,STATE_CONFIRMED,24.786745,120.99736,23.911
1516600841011,1/22/18 14:00,on_foot:51;;walking:51;;still:43;;in_vehicle:2;;unknown:2;;on_bicycle:1;;running:0,on_foot:51;;walking:51;;still:43;;in_vehicle:2;;unknown:2;;on_bicycle:1;;running:0,,,,,
1516600846400,1/22/18 14:00,still:93;;in_vehicle:2;;on_foot:2;;walking:2;;unknown:1;;on_bicycle:0,still:93;;in_vehicle:2;;on_foot:2;;walking:2;;unknown:1;;on_bicycle:0,,,,,
1516600848035,1/22/18 14:00,,on_foot:58;;walking:58;;still:23;;unknown:9;;in_vehicle:3;;on_bicycle:2;;running:2,on_foot,STATE_SUSPECTING_STOP,24.786745,120.99736,23.911
1516600851849,1/22/18 14:00,still:100,still:100,,,,,
1516600856562,1/22/18 14:00,still:100,still:100,,,,,
1516600858022,1/22/18 14:00,,still:93;;in_vehicle:2;;on_foot:2;;walking:2;;unknown:1;;on_bicycle:0,on_foot,STATE_SUSPECTING_STOP,24.786724,120.997345,22.964
1516600861697,1/22/18 14:01,still:100,still:100,,,,,
1516600866834,1/22/18 14:01,still:100,still:100,,,,,
1516600868030,1/22/18 14:01,,still:100,on_foot,STATE_SUSPECTING_STOP,24.786852,120.997314,25.115
1516600871971,1/22/18 14:01,still:88;;on_foot:4;;walking:4;;in_vehicle:3;;on_bicycle:2;;unknown:2,still:88;;on_foot:4;;walking:4;;in_vehicle:3;;on_bicycle:2;;unknown:2,,,,,
1516600877113,1/22/18 14:01,still:86;;on_foot:4;;walking:4;;in_vehicle:3;;on_bicycle:3;;unknown:3,still:86;;on_foot:4;;walking:4;;in_vehicle:3;;on_bicycle:3;;unknown:3,,,,,
1516600878045,1/22/18 14:01,,still:100,on_foot,STATE_CONFIRMED,24.786852,120.997314,25.115
1516600882236,1/22/18 14:01,still:100,still:100,,,,,
1516600887323,1/22/18 14:01,still:100,still:100,,,,,
1516600888024,1/22/18 14:01,,still:86;;on_foot:4;;walking:4;;in_vehicle:3;;on_bicycle:3;;unknown:3,on_foot,STATE_SUSPECTING_STOP,24.786852,120.997314,25.115
1516600892461,1/22/18 14:01,still:100,still:100,,,,,
1516600897608,1/22/18 14:01,still:100,still:100,,,,,
1516600898030,1/22/18 14:01,,still:100,on_foot,STATE_SUSPECTING_STOP,24.786852,120.997314,25.115
1516600902820,1/22/18 14:01,tilting:100,tilting:100,,,,,
1516600902865,1/22/18 14:01,still:74;;on_foot:25;;walking:25;;unknown:1;;running:0,still:74;;on_foot:25;;walking:25;;unknown:1;;running:0,,,,,
1516600907951,1/22/18 14:01,tilting:100,tilting:100,,,,,
